date,project,task_type,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,est_cost_usd
2026-05-31,Week1-GenAIBuildingBlocks,Week1-GenAIBuildingBlocks,claude-opus-4-8,97156,660946,3601962,38891960,58.9677
2026-05-31,plans,plans,claude-opus-4-8,3162,1793090,821500,52595773,76.2753
2026-05-31,state-of-the-llms,state-of-the-llms,claude-haiku-4-5-20251001,440,14395,382463,4442142,0.9947
2026-05-31,state-of-the-llms,state-of-the-llms,claude-opus-4-8,367288,8281887,50010960,74001446,558.4528
2026-05-31,state-of-the-llms,state-of-the-llms,claude-sonnet-4-6,249,20852,426088,3231751,2.8809
2026-05-31,superpowers,superpowers,claude-opus-4-8,5015,392561,15819563,8935886,113.1793
2026-06-01,state-of-the-llms,state-of-the-llms,claude-opus-4-8,107303,213275,330361,17671008,16.7687
